ID,numax,dnu,teff,bp_rp,eps_p,d02,alpha_p,env_height,env_width,mode_width,H1_nu,H1_exp,H_power,H2_nu,H2_exp,p_L,p_D,eps_g,alpha_g,d01,u1,u2,DPi1
model8177_260,2.887002401,1.721078827,3.728239334,,,,,,,,,,,,,0.031577041,0.003554153,1.456685087,,1.385831961,0.024841506,0.019815174,176.9565613
model8177_261,2.886104524,1.720331057,3.728074064,,,,,,,,,,,,,0.031438506,0.003569959,1.452955447,,1.398225154,0.024754723,0.019706038,176.6181137
model8177_262,2.885127169,1.719510404,3.727876716,,,,,,,,,,,,,-0.030636409,-0.003657243,1.449151435,,1.392953299,-0.024249274,-0.019077151,176.2789079
model8177_263,2.88416813,1.718708892,3.727693251,,,,,,,,,,,,,-0.030507882,-0.00367156,1.445463813,,1.394442063,-0.024168516,-0.018976145,175.9447646
model8177_265,2.882281049,1.717131128,3.72733298,,,,,,,,,,,,,-0.030151154,-0.003685816,1.438116341,,1.395394366,-0.023926351,-0.01871382,175.2783997
model8177_266,2.881353933,1.716356287,3.727156663,,,,,,,,,,,,,-0.03003034,-0.003698938,1.434493003,,1.382381537,-0.023850201,-0.018619114,174.9470298
model8177_267,2.880432862,1.715588501,3.726985696,,,,,,,,,,,,,-0.029910653,-0.003711522,1.430894813,,1.384674471,-0.023774468,-0.018525584,174.6158108
model8177_268,2.879445314,1.714762246,3.726794573,,,,,,,,,,,,,-0.029788656,-0.003724251,1.577896984,,1.387270039,-0.023697204,-0.018430317,171.3933408
model8177_269,2.878495894,1.713969355,3.726617205,,,,,,,,,,,,,-0.029669677,-0.003736139,1.579477115,,1.383614885,-0.023621479,-0.01833778,170.9736195
model8177_270,2.877569123,1.713195695,3.726445754,,,,,,,,,,,,,-0.02955132,-0.003746864,1.581028923,,1.383395051,-0.023545372,-0.018246506,170.5536018
model8177_271,2.876588347,1.712377215,3.72626243,,,,,,,,,,,,,-0.029432803,-0.003757987,1.582594685,,1.388070534,-0.023469433,-0.018154837,170.1341361
model8177_272,2.875636441,1.711585145,3.726091012,,,,,,,,,,,,,-0.02931403,-0.003768975,1.584220152,,1.385140311,-0.023393217,-0.018063082,169.7201833
model8177_273,2.87471431,1.71081954,3.7259301,,,,,,,,,,,,,-0.029197419,-0.00377834,1.585778151,,1.379100597,-0.023317383,-0.017974003,169.308054
model8177_276,2.871817275,1.708402215,3.725394641,,,,,,,,,,,,,-0.02884956,-0.003806074,1.590609487,,1.379780696,-0.023091021,-0.017708419,168.0757708
model8177_277,2.870812979,1.707564512,3.725210661,,,,,,,,,,,,,-0.028734657,-0.003814374,1.59099721,,1.383971697,-0.02301564,-0.017621301,167.6903533
model8177_279,2.868871409,1.705948874,3.724864881,,,,,,,,,,,,,-0.028084347,-0.003938425,1.58612897,,1.379810088,-0.022643519,-0.017073745,167.0310949
